OPEID,School,City,SchoolType,DRATE1,subudis,unsubudis,grantstotal,loanstotal,loansgrantstotal
3490400,Emil Fries Piano Hospital & Training Center,Vancouver,Private,,9000,1650,20050,10650,30700
4155000,Northwest School of Wooden Boat Building,Port Hadlock,Private,,63034,79998,52117,143032,195149
380300,Whitman College,Walla Walla,Private,2.6,2025648,788004,654007,2813652,3467659
2106700,Trinity Lutheran College,Everett,Private,2.7,508885,456865,342083,965750,1307833
2242500,Bastyr University,Kenmore,Private,2.9,1024876,1142670,428086,2167546,2595632
379700,University of Puget Sound,Tacoma,Private,2.9,5301908,3870025,2165881,9171933,11337814
379000,Seattle University,Seattle,Private,3.2,10103235,8824539,4094895,18927774,23022669
378800,Seattle Pacific University,Seattle,Private,3.4,8761123,7169708,4313635,15930831,20244466
377800,Gonzaga University,Spokane,Private,3.8,8593817,8732019,3786559,17325836,21112395
378500,Pacific Lutheran University,Tacoma,Private,4.3,7759908,6618021,3794533,14377929,18172462
379900,Walla Walla University,College Place,Private,4.6,3835601,4036973,2272317,7872574,10144891
380400,Whitworth University,Spokane,Private,5,6588590,5955422,2928904,12544012,15472916
378300,Northwest University,Kirkland,Private,6.4,3488437,3678726,2126925,7167163,9294088
1302200,City University of Seattle,Seattle,Private,7.2,1928697,2663836,881047,4592533,5473580
379400,Saint Martin's University,Lacey,Private,9.5,3486231,3321153,2224634,6807384,9032018
3689400,Faith Evangelical College & Seminary,Tacoma,Private,10.2,317495,501369,304574,818864,1123438
1231500,Cornish College of the Arts,Seattle,Private,13.1,2378364,2130442,1236946,4508806,5745752
938700,Perry Technical Institute,Yakima,Private,13.8,3648889,4015707,2474630,7664596,10139226
377700,Heritage University,Toppenish,Private,21,2926441,3451828,2996615,6378269,9374884
3283300,Northwest HVAC/R Association & Training,Spokane,Private,24.1,132320,185834,157439,318154,475593
4172900,Academy of Cosmetology,Richland,Profit,,56089,69430,59701,125519,185220
3953300,Yakima Beauty School,Yakima,Profit,,61500,6000,187206,67500,254706
3065000,Lucas Marc Academy,Richland,Profit,,378091,148880,514148,526971,1041119
4170100,The Salon Professional Academy,Tacoma,Profit,,571611,699024,466426,1270635,1737061
3724300,Digipen Institute of Technology,Redmond,Profit,5.3,2110027,2107379,1234377,4217406,5451783
2105300,Evergreen Beauty And Barber College,Bellevue,Profit,7.6,373632,358242,403373,731874,1135247
4149400,Gary Manuel Aveda Institute,Seattle,Profit,8.6,986851,1387791,772885,2374642,3147527
3917300,Evergreen Beauty And Barber College,Everett,Profit,10,473725,423415,513635,897140,1410775
4120000,Sunnyside Beauty Academy,Sunnyside,Profit,11.1,39050,30206,81841,69256,151097
3099000,Cortiva Institute - Seattle,Seattle,Profit,11.1,650481,1025702,650202,1676183,2326385
973900,Glen Dow Academy of Hair Design & Salons,Spokane,Profit,12,442360,588647,535435,1031007,1566442
2236800,Professional Beauty School,Yakima,Profit,12.8,80750,42924,106791,123674,230465
4130800,Cascade Beauty College,Auburn,Profit,13.3,55654,47372,125625,103026,228651
2602100,Northwest College of Art & Design,Poulsbo,Profit,13.5,389253,417090,258528,806343,1064871
2617500,Everest College,Seattle,Profit,15.5,3932334,6177376,5196948,10109710,15306658
2331400,Northwest Hair Academy,Mount Vernon,Profit,16.6,322683,355682,471363,678365,1149728
2300100,Everest College,Bremerton,Profit,17.1,5878090,8811347,8571799,14689437,23261236
2291300,The Art Institute of Seattle,Seattle,Profit,17.2,4888702,6196562,3267866,11085264,14353130
2184200,Paroba College of Cosmetology,Everett,Profit,17.7,318949,395604,434747,714553,1149300
4132800,Inland Massage Institute,Spokane,Profit,17.8,83784,111858,121857,195642,317499
