OPE ID,School,ADDR,City,State,Zip Code,SchoolType,loans,grants,total,DL.Subsidized.Recipients,DL.Subsidized.# of Loans Originated,DL.Subsidized.$ of Loans Originated,DL.Subsidized.# of Disbursements,subudis,DL.Unsubsidized.Undergrad.Recipients,DL.Unsubsidized.Undergrad.# of Loans Originated,DL.Unsubsidized.Undergrad.$ of Loans Originated,DL.Unsubsidized.Undergrad.# of Disbursements,unsubudis,DL.Unsubsidized.Graduate.Recipients,DL.Unsubsidized.Graduate.# of Loans Originated,DL.Unsubsidized.Graduate.$ of Loans Originated,DL.Unsubsidized.Graduate.# of Disbursements,DL.Unsubsidized.Graduate.$ of Disbursements,DL.Parent.Plus.Recipients,DL.Parent.Plus.# of Loans Originated,DL.Parent.Plus.$ of Loans Originated,DL.Parent.Plus.# of Disbursements,DL.Parent.Plus.$ of Disbursements,DL.Grad.Plus.Recipients,DL.Grad.Plus.# of Loans Originated,DL.Grad.Plus.$ of Loans Originated,DL.Grad.Plus.# of Disbursements,DL.Grad.Plus.$ of Disbursements,Pell.Grant.Program.YTD Recipients,Pell.Grant.Program.YTD Disbursements,TEACH.Program.YTD Recipients,TEACH.Program.YTD Disbursements,Iraq.Afghanistan.Service.Grant.Program.YTD Recipients,Iraq.Afghanistan.Service.Grant.Program.YTD Disbursements,PBM LEN,SCH TYPE,YR 1,NBD 1,NBR 1,DRATE1,PRATE 1,YR 2,NBD 2,NBR 2,DRATE 2,PRATE 2,FFEL DEF,FFEL REP,FDSLP DEF,FDSLP REP,ETNC CODE,PROGRAM,CON DIS,REGION,AVGOR GE30
376900,Bellevue College,3000 Landerholm Circle Southeast,Bellevue,WA,980076484,Public,9492905,9308403,18801308,1258,1468,4622521,3018,3905344,1226,1434,6694833,2996,5587561,,,,0,,9,9,76888,20,64211,,,,0,,2949,9308403,,,,,6,1,2010,41,540,7.5,A,2009,53,522,10.1,A,41,540,0,0,5,D,8,10,0
377000,Big Bend Community College,7662 Chanute Street,Moses Lake,WA,988373299,Public,3101279,4572095,7673374,592,607,1680578,1305,1681254,436,446,1422779,1017,1420025,1,1,1680,2,1680,17,17,264182,45,262413,,,,0,,1353,4572095,,,,,5,1,2010,73,309,23.6,A,2009,51,288,17.7,A,54,261,25,94,5,D,4,10,0
377100,Central Washington University,400 East University Way,Ellensburg,WA,989267501,Public,45089931,16386122,61476053,5413,6007,22398970,14335,22366711,5375,6480,22854918,15459,22723220,341,400,4668128,909,4643637,1637,1997,18963543,4806,18583661,89,118,477133,231,471275,4269,16386122,98,314356,,,8,1,2010,159,2125,7.4,A,2009,102,2179,4.6,A,0,1,159,2124,5,D,4,10,0
377200,Centralia College,600 Centralia College Boulevard,Centralia,WA,985314099,Public,,4691404,4691404,,,,,,,,,,,,,,,,,,,,,,,,,,1405,4691404,,,,,6,1,2010,0,0,,A,2009,0,0,0,A,0,0,0,0,5,D,3,10,0
377300,Clark College,1933 Fort Vancouver Way,Vancouver,WA,986633598,Public,22676291,22494397,45170688,4125,4382,10063436,9718,10045634,3515,3707,12678004,8236,12630657,,,,0,,9,9,32631,18,32631,,,,0,,7252,22494397,,,,,5,1,2010,251,1287,19.5,A,2009,153,938,16.3,A,251,1287,0,0,5,D,3,10,0
377400,Columbia Basin College,2600 North 20th Avenue,Pasco,WA,993013379,Public,4803188,9042957,13846145,762,815,2332704,1704,2328663,690,738,2496911,1611,2474525,,,,0,,5,5,38376,14,37985,,,,0,,2722,9042957,,,,,6,1,2010,57,446,12.7,A,2009,49,370,13.2,A,57,446,0,0,5,D,4,10,0
377500,Eastern Washington University,214 Showalter Hall,Cheney,WA,990042444,Public,45185287,19387933,64573220,5716,6382,23138368,15468,23081888,5285,6449,22178334,15403,22103399,877,1001,14084767,2522,13985240,1031,1168,10329077,2986,10116223,116,169,919123,296,909256,4822,19387933,,,,,8,1,2010,206,2690,7.6,A,2009,188,2590,7.2,A,206,2689,0,2,5,D,5,10,0
377600,Everett Community College,2000 Tower Street,Everett,WA,982011352,Public,6331823,7928740,14260563,1087,1147,3252209,2580,2988870,964,1017,3700731,2328,3342953,,,,0,,,,,0,,,,,0,,2490,7928740,,,,,5,1,2010,95,626,15.1,A,2009,115,575,20,A,95,626,0,0,5,D,2,10,0
377700,Heritage University,3240 Fort Road,Toppenish,WA,989489562,Private,6378269,2996615,9374884,743,756,2932018,1326,2926441,674,690,3456095,1194,3451828,194,205,3116317,404,3079931,6,6,46399,11,46149,12,12,155361,24,155361,770,2996615,150,518280,,,8,2,2010,90,427,21,A,2009,60,440,13.6,A,86,417,4,19,3,D,4,10,0
377800,Gonzaga University,502 East Boone Avenue,Spokane,WA,992580083,Private,17325836,3786559,21112395,1946,2013,8602649,3785,8593817,2225,2256,8799634,4287,8732019,1910,1953,31330169,3868,31017767,416,431,7863649,842,7737285,517,532,10954998,1169,10894042,926,3786559,14,56000,,,8,2,2010,60,1545,3.8,A,2009,56,1375,4,A,60,1545,0,1,5,D,5,10,0
377900,Grays Harbor College,1620 Edward P. Smith Drive,Aberdeen,WA,985207599,Public,2160831,4430567,6591398,386,420,1176162,900,1176162,312,345,984810,757,984669,,,,0,,,,,0,,,,,0,,1291,4430567,,,,,5,1,2010,31,140,22.1,A,2009,27,134,20.1,A,31,140,0,0,5,D,6,10,0
378000,Green River Community College,12401 Se 320th Street,Auburn,WA,980923622,Public,8251352,8901839,17153191,1436,1571,3713061,3386,3703742,1315,1457,4575175,3183,4547610,,,,0,,3,3,7839,3,7839,,,,0,,2762,8901839,3,9758,,,5,1,2010,135,684,19.7,A,2009,94,573,16.4,A,101,562,42,210,5,D,8,10,0
378100,Highline Community College,2400 South 240th Street,Des Moines,WA,981989800,Public,4176583,10107500,14284083,757,767,2255620,1607,2178695,622,631,2089837,1414,1997888,,,,0,,,,,0,,,,,0,,3175,10107500,,,,,5,1,2010,72,422,17,A,2009,80,469,17,A,72,422,0,0,5,D,9,10,0
378200,Lower Columbia College,1600 Maple Street,Longview,WA,986320310,Public,7384029,7207026,14591055,1252,1284,3768990,3151,3277825,1131,1160,4821955,2850,4106204,,,,0,,3,3,17849,9,16994,,,,0,,2250,7207026,,,,,5,1,2010,173,624,27.7,A,2009,122,436,27.9,A,173,624,0,0,5,D,3,10,0
378300,Northwest University,5520 108th Avenue Northeast,Kirkland,WA,980337523,Private,7167163,2126925,9294088,844,891,3494911,1507,3488437,850,929,3695065,1576,3678726,154,165,2556132,396,2529274,100,117,1117348,185,1110198,19,22,177788,51,167239,568,2126925,,,,,8,2,2010,27,421,6.4,A,2009,14,402,3.4,A,27,421,0,0,5,D,1,10,0
378400,Olympic College,1600 Chester Avenue,Bremerton,WA,983371600,Public,8799290,11022365,19821655,1308,1357,4145429,3292,4069774,1272,1327,4852954,3219,4729516,,,,0,,4,4,13692,9,13592,,,,0,,3292,11022365,,,,,6,1,2010,86,431,19.9,A,2009,60,390,15.3,A,86,431,0,0,5,D,6,10,0
378500,Pacific Lutheran University,12180 Park Avenue,Tacoma,WA,984470003,Private,14377929,3794533,18172462,1761,1899,7779273,3465,7759908,1763,2019,6664417,3704,6618021,203,233,3731654,525,3721319,593,619,8566644,1114,8455498,88,96,1345981,231,1341954,966,3794533,29,108000,,,8,2,2010,39,902,4.3,A,2009,26,887,2.9,A,39,902,0,0,5,D,6,10,0
